,longitude,latitude,full_geoid,geoid
363,-73.9668043,40.7612572,360610112031000,36061011203
364,-73.9815076,40.7245225,360610026022000,36061002602
365,-73.923023,40.8470519,360050205015001,36005020501
366,-73.924185,40.692901,360470395001001,36047039500
367,-73.9082058,40.822693,360050185024003,36005018502
368,-73.9284693,40.8741114,360610297001004,36061029700
369,-73.946276,40.70222,360470507001002,36047050700
370,-73.9900641,40.7354053,360610052001004,36061005200
371,-73.9951206,40.7024846,360470001001007,36047000100
372,-73.9906817,40.7183392,360610018002004,36061001800
373,-73.9460517,40.6891799,360470263001001,36047026300
374,-73.9490373,40.793052,360610168001000,36061016800
375,-73.9593874,40.6903535,360470233002000,36047023300
376,-73.964962,40.7600088,360610108031001,36061010803
377,-73.9418357,40.7515889,360810033011013,36081003301
378,-73.9955725,40.6880994,360470045002002,36047004500
379,-74.0021357,40.7540765,360610099032017,36061009903
380,-73.9302976,40.7573016,360810053004001,36081005300
381,-74.0145236,40.7125644,360610317031002,36061031703
382,-73.9789529,40.7328078,360610044005001,36061004400
383,-73.9423255,40.849568,360610265002006,36061026500
384,-73.9524853,40.7866552,360610160021000,36061016002
385,-73.9205795,40.7139723,360810535021000,36081053502
386,-74.0068098,40.707836,360610015024001,36061001502
387,-73.9017455,40.7765174,360810123011003,36081012301
388,-74.0006106,40.7559487,360610099032010,36061009903
389,-73.9849842,40.7549148,360610113001000,36061011300
390,-73.9377836,40.696691,360470287001001,36047028700
391,-73.9174732,40.7147531,360810535021002,36081053502
392,-73.9977778,40.7625266,360610129013001,36061012901
393,-73.9976993,40.7140669,360610029022003,36061002902
394,-73.9716698,40.794747,360610183006001,36061018300
395,-73.9390927,40.7608863,360810085001004,36081008500
396,-73.9229708,40.8158518,360050051003000,36005005100
397,-73.9146336,40.6766099,360470301002002,36047030100
398,-73.9965181,40.7102635,360610025002000,36061002500
399,-73.904596,40.906175,360050323001000,36005032300
400,-73.9472064,40.7718317,360610136022000,36061013602
401,-74.0044013,40.714083,360610031002001,36061003100
402,-73.9368514,40.7547957,360810033022011,36081003302
403,-73.9625278,40.6678889,360470177001000,36047017700
404,-73.9273998,40.8531357,360610277001003,36061027700
405,-73.9404337,40.7905444,360610170004002,36061017000
406,-73.9445008,40.8177401,360610228004000,36061022800
407,-73.9917439,40.6744071,360470119011006,36047011901
408,-73.9338753,40.6690816,360470353012001,36047035301
409,-73.9755001,40.7768456,360610157002000,36061015700
410,-73.9500192,40.7721964,360610136033001,36061013603
411,-73.9106901,40.8195796,360050071001006,36005007100
412,-73.9744442,40.6962594,360470185012000,36047018501
413,-74.0213112,40.6889911,360610005001020,36061000500
414,-73.9212247,40.8075244,360050025004000,36005002500
415,-73.9653595,40.771885,360610130002001,36061013000
416,-73.9996394,40.74923,360610097002002,36061009700
417,-73.9093998,40.8426292,360050171001000,36005017100
418,-73.9253848,40.7621972,360810061001000,36081006100
419,-73.958797,40.7991462,360610143001003,36061014300
420,-73.9511664,40.7785165,360610146026000,36061014602
421,-73.9868401,40.6686842,360470139004000,36047013900
422,-74.0134155,40.7115188,360610013005000,36061001300
423,-73.9449586,40.7966121,360610172001001,36061017200
424,-73.9635642,40.7619196,360610110003000,36061011000
425,-73.9196037,40.7481163,360810183001002,36081018300
426,-74.0154232,40.7157736,360610317033009,36061031703
427,-74.0101077,40.7322983,360610069002000,36061006900
428,-73.9876873,40.7505854,360610109001011,36061010900
429,-73.9472602,40.8379956,360610247005001,36061024700
430,-73.9231559,40.8764556,360610297001003,36061029700
431,-73.9731001,40.6671223,360470177001007,36047017700
432,-73.91168,40.848639,360050233013001,36005023301
433,-73.9427612,40.7857045,360610162005005,36061016200
434,-73.9493179,40.7843093,360610156014000,36061015601
435,-73.9832688,40.7664945,360610139006000,36061013900
436,-73.9027751,40.7370785,360810243002001,36081024300
437,-73.957857,40.8113638,360610211006000,36061021100
438,-74.0089314,40.6533915,360470002001016,36047000200
439,-73.9284433,40.7466606,360810179021002,36081017902
440,-73.9614898,40.7916006,360610143001008,36061014300
441,-73.9234431,40.821751,360050061004000,36005006100
442,-74.0131622,40.7024633,360610009001018,36061000900
443,-73.934645,40.7568524,360810051002000,36081005100
444,-73.9457131,40.7778572,360610144023000,36061014402
445,-73.9041056,40.6976672,360810555002001,36081055500
446,-73.9192978,40.8569742,360050247002003,36005024700
447,-73.9418762,40.7963397,360610182004000,36061018200
448,-73.9839969,40.7544646,360610084001000,36061008400
449,-73.9993539,40.7341288,360610071003002,36061007100
450,-73.9761014,40.6923511,360470031021000,36047003102
451,-73.911316,40.821263,360050071001002,36005007100
452,-74.0007608,40.7575036,360610099031000,36061009903
453,-73.9707699,40.747543,360610086013004,36061008601
454,-73.919079,40.853071,360050247002004,36005024700
455,-73.9058107,40.9075712,360050323002000,36005032300
456,-74.0038583,40.7255812,360610049002001,36061004900
457,-73.9179971,40.7506444,360810171021001,36081017102
458,-73.9102623,40.7110356,360810539021000,36081053902
459,-73.9194845,40.6614969,360470890001000,36047089000
460,-74.0169357,40.7074542,360610317043003,36061031704
461,-73.9301974,40.7721869,360810083002003,36081008300
462,-73.9412278,40.6962941,360470283001001,36047028300
463,-74.0168246,40.707645,360610317043003,36061031704
464,-73.9601777,40.8196687,360610219001004,36061021900
465,-74.0068272,40.7302914,360610067004004,36061006700
466,-73.9429138,40.7748981,360610144027001,36061014402
467,-73.9471285,40.7926503,360610172003001,36061017200
468,-73.9160457,40.8090176,360050033003001,36005003300
469,-73.9590185,40.8133158,360610211006001,36061021100
470,-73.9676811,40.8055232,360610199001008,36061019900
471,-73.9306039,40.8537855,360610279003001,36061027900
472,-73.9387222,40.696876,360470285021000,36047028502
473,-73.9388152,40.8496232,360610265004001,36061026500
474,-73.976206,40.687025,360470033001001,36047003300
475,-74.0168006,40.7072768,360610317043008,36061031704
476,-73.9324598,40.7942491,360610178003005,36061017800
477,-73.9457855,40.7987012,360610184004000,36061018400
478,-73.9289029,40.6776257,360470299002004,36047029900
479,-73.9414543,40.6999508,360470285011000,36047028501
480,-73.9127569,40.7096395,360810539021000,36081053902
481,-73.9193634,40.7470353,360810183001001,36081018300
482,-74.0121478,40.7025756,360610009001020,36061000900
483,-74.0061209,40.7040026,360610007008002,36061000700
484,-74.0006572,40.7143724,360610029025001,36061002902
485,-74.017051,40.7120197,360610317041000,36061031704
486,-73.9436222,40.7524898,360810033011010,36081003301
487,-73.9432945,40.8460155,360610255001004,36061025500
488,-73.9415546,40.7438536,360810001041003,36081000104
489,-73.9661206,40.750314,360610086021001,36061008602
490,-73.900424,40.7004032,360810557003002,36081055700
491,-73.920723,40.845233,360050213012001,36005021301
492,-73.9414056,40.8493995,360610265003003,36061026500
493,-73.9580602,40.7327159,360470563011002,36047056301
